title,environment,morphology
Abscission of the stigmas of pearl millet after pollination results from the activation of a specialized zone of tissue near the base,OWLClass_000835,OWLClass_001135
A countershading reflex in cephalopods  ,OWLClass_000868,OWLClass_001134
Automatic aeroelastic devices in the wings of a steppe eagle Aquila nipalensis ,OWLClass_000866,OWLClass_001134
Flexural stiffness in insect wings II. Spatial distribution and dynamic wing bending ,OWLClass_000858,OWLClass_001134
Characterisation of Amyloid Nanostructures in the Natural Adhesive of Unicellular Subaerial Algae ,OWLClass_000875,OWLClass_001135
Thriving at high hydrostatic pressure: the example of ammonoids (extinct cephalopods) ,OWLClass_000878,OWLClass_001134
"Modulation in the Feeding Prey Capture of the Ant-lion, Myrmeleon crudelis",OWLClass_000838,OWLClass_001134
"self -organized structures in a super organism: do ants ""behave"" like molecules? ",OWLClass_000870,OWLClass_001134
Consensus decision making in the ant Myrmecina nipponica: house-hunters combine pheromone trails with quorum responses  ,OWLClass_000838,OWLClass_001134
Juvenile hormone induces queen development in late-stage larvae of the ant Harpegnathos saltator ,OWLClass_000854,OWLClass_001134
The Mechanism of Antler Casting in the Fallow Deer ,OWLClass_000854,OWLClass_001134
"Chemical mimicry and host specificity in the butterfly Maculinea rebeli, a social parasite of Myrmica ant colonies ",OWLClass_000854,OWLClass_001134
Optimisation in a natural system: Argentine ants solve the Towers of Hanoi ,OWLClass_000842,OWLClass_001134
Transcriptomic profiling of the reproductive mode switch in the pea aphid in response to natural autumnal photoperiod ,OWLClass_000857,OWLClass_001134
A test of novel function(s) for the ink of sea hares ,OWLClass_000894,OWLClass_001134
Presence of aposematic (warning) coloration in vascular plants of southeastern Ohio,OWLClass_000886,OWLClass_001135
Predicting three-dimensional target motion: how archer fish determine where to catch their dislodged prey ,OWLClass_000836,OWLClass_001134
Area-heterogeneity tradeoff and the diversity of ecological communities ,OWLClass_000886,
Amplification and Feedback in Invertebrates ,OWLClass_000885,OWLClass_001134
Doppler-shift compensation behavior in horseshoe bats revisited: auditory feedback controls both a decrease and an increase in call frequency ,OWLClass_000865,OWLClass_001134
"Inhibition of Golgi-apparatus function by brefeldin A in maize coleoptiles and its consequences on auxin-mediated growth, cell wall extensibility and secretion of cell wall proteins ",OWLClass_000863,OWLClass_001135
OSMOTIC DILUTION STIMULATES AXONAL OUTGROWTH BY MAKING AXONS MORE SENSITIVE TO TENSION ,OWLClass_000897,
"Fluid dynamics of self-propelled microorganisms, from individuals to concentrated populations",OWLClass_000859,OWLClass_001138
BALLISTIC SEED PROJECTION IN TWO HERBACEOUS SPECIES! ,OWLClass_000862,OWLClass_001135
"The functional morphology of the petioles of the banana, Musa textilis ",OWLClass_000846,OWLClass_001135
Barnacle cement: a polymerization model based on evolutionary concepts ,OWLClass_000887,OWLClass_001134
A multi-scale analysis of settlement density and pattern dynamics of the barnacle Semibalanus balanoides ,OWLClass_000849,OWLClass_001134
"Construction and nanomechanical properties of the exoskeleton of the barnacle, Amphibalanus reticulatus ",OWLClass_000906,OWLClass_001134
Dominant nestlings displaying female-like melanin coloration behave altruistically in the barn owl ,OWLClass_000843,OWLClass_001134
"The existence of tradeoffs among plant defenses is commonly accepted, however, actual evidence for these tradeoffs is scarce.",OWLClass_001253,OWLClass_001135
Antagonistic interactions between honey bee bacterial symbionts and implications for disease,OWLClass_001254,OWLClass_001134
"""It isstings a bit but it cleans well"": Venoms of Hymenoptera and their antimicrobial potential",OWLClass_001255,OWLClass_001134
Why are there so many species in deep-sea sediments,OWLClass_000852,
Propagation and Perception of Bioluminescence: Factors Affecting Counter illumination as a Cryptic Strategy ,OWLClass_000853,OWLClass_001134
Thermal assembly of a biomimetic mineral/collagen composite ,OWLClass_000882,OWLClass_001134
Advantages of a Biomimetic Stiffness Profile in Pitching Flexible Fin Propulsion ,OWLClass_000906,OWLClass_001134
ACTUAL AND 'OPTIMUM' FLIGHT SPEEDS: FIELD DATA REASSESSED ,OWLClass_000905,OWLClass_001134
Incidence and mechanical significance of pneumatization in the long bones of birds ,OWLClass_000834,OWLClass_001134
Role of melanin in mechanical properties of Glycera jaws ,OWLClass_000845,OWLClass_001134
"Surface Ultrastructure of Pit Organ, Spectacle, and Non Pit Organ Epidermis of Infrared Imaging Bold Snakes: A Scanning Probe and Scanning Electron Microscopy Study ",OWLClass_000913,OWLClass_001134
The many adaptations of bone ,OWLClass_000906,OWLClass_001134
A study of fracture mechanisms in biological nano-composites via the virtual internal bond model ,OWLClass_000907,OWLClass_001134
A three-scale finite element investigation into the effects of tissue mineralisation and lamellar organisation in human cortical and trabecular bone ,OWLClass_000909,OWLClass_001134
"Built to break: The antenna of a primitive insect, Petrobius brevistylis (Archaeognatha)",OWLClass_000835,OWLClass_001134
STEM BIOMECHANICS OF THREE COLUMNAR CACTI FROM THE SONORAN DESERTl,OWLClass_000847,OWLClass_001135
Trading force for speed: Why superfast crossbridge kinetics leads to superlow forces,OWLClass_000881,OWLClass_001134
G-fibres in storage roots of Trifolium pratense (Fabaceae): tensile stress generators for contraction ,OWLClass_000835,OWLClass_001135
ACOUSTICS OF A SMALL AUSTRALIAN BURROWING CRICKET: THE CONTROL OF LOW-FREQUENCY PURE-TONE SONGS ,OWLClass_000835,OWLClass_001134
REORIENTATION OF DAFFODIL (NARCISSUS: AMARYLLIDACEAE) FLOWERS IN WIND: DRAG REDUCTION AND TORSIONAL FLEXIBILITY ,OWLClass_000843,OWLClass_001135
A tradeoff between immuno-competence and sexual ornamentation in domestic fowl ,OWLClass_000835,OWLClass_001134
Hydraulic efficiency and safety of branch xylem increases with height in Sequoia sempervirens (D. Don) crowns,OWLClass_000838,OWLClass_001135
